Emerson Paraiso,PUC-PR,33/4345
Emilio Francesquini,UFABC,121/4593
Eraldo Fernandes,UFMS,25/7930
Erickson Rangel do Nascimento,UFMG,92/7785
Ernesto Birgin,IME/USP,21/829
Esdras Medeiros,UFC,76/4385
Esteban Clua,UFF,59/5772
Estevam Hruschka,UFSCar,h/EstevamRHruschka
Eunice Nunes,UFMT,56/8926
Evandro Costa,UFAL,04/6610
Ezequiel Roberto Zorzal,UNIFESP,42/6370
Fabiano Dorca,UFU,10/4098
Fabiano Ferrari,UFSCar,48/5007
Fabiano Passuelo Hessel,PUC-RS,33/5648
Fabiano Silva,UFPR,78/6175
Fabio Augusto Faria,UNIFESP,10/10071
Fabio Cappabianco,UNIFESP,22/6341
Fabio Costa,UFG,01/6284
Fabio Cozman,POLI/USP,g/FabioGagliardiCozman
Fabio Ferrentini Sampaio,NCE/UFRJ,150/7788
Fabio Kepler,UFPAMPA,181/7121
Fabio Kon,IME/USP,k/FabioKon
Fabio Luiz Usberti,UNICAMP,37/7058
Fabio Mascarenhas,DCC/UFRJ,80/5193
Fabio Porto,LNCC,p/FabioPorto
Fabio Protti,UFF,61/2851
Fabio Q. B. da Silva,UFPE,66/5081
Fabio Verdi,UFSCar,128/6886
Fabiola Greve,UFBA,16/2607
Fabricio Benevenuto,UFMG,90/2878
Fabricio Breve,UNESP,70/3284
Fabricio Enembreck,PUC-PR,90/6263
Fabricio Martins Lopes,UTFPR,32/4623
Fabricio Olivetti de Franca,UFABC,92/5258
Fabricio Siqueira Benevides,UFC,28/7614
Fatima Duarte-Figueiredo,PUC Minas,50/5327
Fatima Nunes,EACH/USP,87/8751
Felipe Franca,COPPE/UFRJ,f/FelipeMaiaGalvaoFranca
Felipe Meneguzzi,PUC-RS,10/985
Fernanda Alencar,UFPE,31/5316
Fernanda Baiao,UNIRIO,b/FAraujoBaiao
Fernanda Campos,UFJF,30/3085
Fernanda Kastensmidt,UFRGS,l/FGdLimaKastensmidt
Fernanda Lima,UnB,20/5847
Fernando Castor,UFPE,f/FCFilho
Fernando Dotti,PUC-RS,22/512
Fernando Figueira Filho,UFRN,27/902
Fernando Gehm Moraes,PUC-RS,m/FernandoGehmMoraes
Fernando Marson,Unisinos,82/9315
Fernando Osorio,ICMC/USP,00/5455
Fernando Paulovich,ICMC/USP,63/3726
Fernando Pereira,UFMG,p/FMQPereira
Fernando Trinta,UFC,126/6814
Fernando Von Zuben,FEEC/UNICAMP,76/1954
Flavia Bernardini,UFF,88/5413
Flavia Delicato,DCC/UFRJ,88/4289
Flavia Santoro,UNIRIO,33/6173
Flavio Figueiredo,UFMG,98/7536
Flavio Keidi Miyazawa,UNICAMP,m/FlavioKeidiMiyazawa
Flavio Rech Wagner,UFRGS,/r/FlavioRechWagner
Flavio Rech Wagner,UFRGS,r/FlavioRechWagner
Flavio Soares Correa da Silva,IME/USP,52/550
Flavio Tonidandel,FEI,32/2417
Francicleber Ferreira,UFC,92/87
Francisco Heron de Carvalho,UFC,32/1402
Francisco Sant'Anna,UERJ,16/7375
Francisco Tenorio de Carvalho,UFPE,65/6740
Francisco Vilar Brasileiro,UFCG,b/FranciscoVilarBrasileiro
Fred Freitas,UFPE,94/2962
Frederick van Amstel,PUC-PR,87/5849
Frederico Durao,UFBA,22/4396
Gabriel Luca Nazar,UFRGS,18/9853
Gabriel Silva,DCC/UFRJ,99/10450
Geber Ramalho,UFPE,13/3685
Genaina Rodrigues,UnB,34/64
George Cavalcanti,UFPE,57/458
George Teodoro,UnB,78/87
Geraldo Robson Mateus,UFMG,20/1803
Gerberth Adin Ramirez Rivera,UNICAMP,85/9834
Germana Nobrega,UnB,17/1217
Germano Vasconcelos,UFPE,68/801
Gerson Geraldo Cavalheiro,UFPEL,c/GGHCavalheiro
Gerson Zaverucha,COPPE/UFRJ,53/3165
Giancarlo Guizzardi,UFES,11/78
Gilberto Camara,INPE,76/5209
Gilda Bernardino de Campos,PUC-Rio,71/3775
Gilson Giraldi,LNCC,05/6423
Gina Maira Oliveira,UFU,87/6472
Giordano Cabral,UFPE,51/2005
Gisele Pappa,UFMG,59/701
Giseli Lopes,DCC/UFRJ,21/8385
Glaucia Braga e Silva,UFV,15/8144
Glauco Carneiro,UNIFACS,93/3808
Gleison Santos,UNIRIO,78/2800
Gracaliz Dimuro,FURG,79/36
Guido Araujo,UNICAMP,a/GuidoAraujo
Guilherme Avelino,UFPI,167/4627
Guilherme Barreto,UFC,72/3054
Guilherme Maia,UFMG,97/7509
Guilherme Oliveira Mota,UFABC,204/5903
Guilherme Pimentel Telles,UNICAMP,71/2226
Guilherme Sousa Bastos,UNIFEI,166/2034
Guilherme Travassos,COPPE/UFRJ,t/GuilhermeTravassos
Guillermo Camara Chavez,UFOP,147/6674
Gustavo Batista,ICMC/USP,85/1649
Gustavo Carvalho,UFPE,44/3540
Gustavo Figueiredo,UFBA,118/4005
Gustavo Gimenez Lugo,UTFPR,l/GustavoGimenezLugo
Gustavo Pavani,UFABC,79/2008
Gustavo Pessin,ITV,59/7537
Gustavo Pinto,UFPA,36/11116-1
Gustavo Teodoro Laureano,UFG,130/6472
Hansenclever Bassani,UFPE,93/6335
Haroldo Gambini Santos,UFOP,86/1473
Heiko Hornung,UNICAMP,32/9821
Heitor Costa,UFLA,42/7676
Heitor Ramos,UFMG,36/7384
Heitor Silverio Lopes,UFTPR,l/HeitorSilverioLopes
Helena Caseli,UFSCar,15/2653
Helio Lopes,PUC-Rio,25/6137
Helio Pedrini,UNICAMP,60/2361
Heloisa Camargo,UFSCar,28/2620
Heloise Manica Paris Teixeira,UEM,205/3319
Hemerson Pistori,UCDB,p/HemersonPistori
Henrique Cota de Freitas,PUC Minas,13/4670
Henrique Mongelli,UFMS,12/2927
Henrique Rebelo,UFPE,27/5017
Hermano Moura,UFPE,03/6598
Hermes Senger,UFSCar,23/4124
Horacio Hideki Yanasse,UNIFESP,42/2992
Horacio Oliveira,UFAM,14/5675
Hugo Fuks,PUC-Rio,21/5671
Humberto Marques,PUC Minas,49/2329
Humberto Rezente,UFU,86/470
Hyggo Almeida,UFCG,76/859
Ig Ibert Bittencourt,UFAL,11/2860
Igor Machado Coelho,UERJ,89/8466
Igor Moraes,UFF,32/6032
Igor Steinmacher,UTFPR,70/3474
Igor Wiese,UTFPR,06/10439
Ilana Concilio,MACKENZIE,138/9615
Ildeberto Rodello,FEARP/USP,07/1984
Ingrid Monteiro,UFC,92/9821
Ingrid Oliveira,UFRGS,48/5352
Isabel Nunes,UFRN,151/4297
Isabel Rosseti,UFF,42/6628
Isabela Gasparini,UDESC,83/667
Islene Garcia,UNICAMP,28/3853
Ismar Frango Silveira,UNICSUL,19/5780
Italo Cunha,UFMG,80/186
Itana Gimenes,UEM,87/4940
Ivan Machado,UFBA,33/9369
Ivandre Paraboni,EACH/USP,99/6191
Jacir Bordim,UnB,23/5009
Jacob Scharcanski,UFRGS,s/JacobScharcanski
Jacques Wainer,UNICAMP,73/4164
Jaelson Castro,UFPE,c/JBdCastro
Jair Leite,UFRN,16/4360
Jairo Panetta,ITA,39/5694
Jano Moreira de Souza,COPPE/UFRJ,m/JMoreiradeSouza
Jauvane Oliveira,LNCC,119/3654
Javam Machado,UFC,12/3896
Jayme Szwarcfiter,COPPE/UFRJ,74/1053
Jean Martina,UFSC,24/765
Jefersson dos Santos,UFMG,53/900
Jefferson Magalhaes,UFPA,88/2496
Jefferson Souza,UFU,72/7359
Jeroen Graaf,UFMG,27/6925
Jesus Mena Chalco,UFABC,86/8870
Jo Ueyama,ICMC/USP,68/1201
Joao Alcantara,UFC,11/4116
Joao Bertini,FT/UNICAMP,25/2752
Joao Comba,UFRGS,c/JoaoLuizDihlComba
