Jose Antonio Fernandes de Macedo,UFC,IR
Jose Augusto Baranauskas,FFCLRP/USP,AI
Jose Carlos Maldonado,ICMC/USP,SE
Jose Fernando Rodrigues Junior,ICMC/USP,DATA
Jose Ferreira de Rezende,COPPE/UFRJ,DATA
Jose Luis Guntzel,UFSC,HARDWARE
Jose Marcos Nogueira,UFMG,NET
Jose Maria David,UFJF,DS
Jose Neuman de Souza,UFC,NET
Jose Palazzo de Oliveira,UFRGS,DBIS
Jose Viterbo,UFF,VISION
Judith Kelner,UFPE,CHI
Juliano Iyoda,UFPE,FORMAL
Julio Cesar Silva Araujo,UFC,THEORY
Julio Dos Reis,UNICAMP,AI
Julio Leite,PUC-Rio,SE
Junia Coutinho Anacleto Silva,UFSCAR,CHI
Junior Barrera,IME/USP,DATA
Jurandy Almeida,UNIFESP,VISION
Jussara Almeida,UFMG,IR
Kalinka Castelo Branco,ICMC/USP,NET
Karin Becker,UFRGS,SE
Karina Valdivia Delgado,IME/USP,AI
Kate Revoredo,UNIRIO,DBIS
Kecia Ferreira,CEFET-MG,SE
Kelvin Lopes Dias,UFPE,NET
Kiev Gama,UFPE,ARCH
Laercio Pilla,UFSC,ARCH
Lasaro Camargos,UFU,NET
Laurence Amaral,UFU,AI
Leandro Balby Marinho,UFCG,DATA
Leandro Fernandes,UFF,VISION
Leandro Marzulo,UERJ,ARCH
Leandro Villas,UNICAMP,NET
Lehilton Pedrosa,UNICAMP,THEORY
Leila Ribeiro,UFRGS,THEORY
Leliane Nunes de Barros,IME/USP,AI
Leonardo Barbosa,UFMG,PL
Leonardo Murta,UFF,SE
Leonardo Torok,UFF,VISION
Leonardo da Rocha,UFSJ,IR
Leopoldo Teixeira,UFPE,SE
Leticia Peres,UFPR,IR
Leticia Rittner,UNICAMP,VISION
Li Weigang,UnB,AI
Liane Tarouco,UFRGS,NET
Liliane Machado,UFPB,AI
Lincoln Rocha,UFC,SE
Linnyer Ruiz,UEM,NET
Liria Sato,POLI/USP,ARCH
Lisandro Zambenedetti Granville,UFRGS,NET
